Ticker,Company Name,Brokerage,Action,Current Price,Price Target,Rating
FORM,FormFactor,20250206000000,37.56,,Analyst Vedvati Shrotre,In-Line -> In-Line
HOLX,Hologic,20250206000000,64.585,,Analyst Vijay Kumar,In-Line -> In-Line
KR,Kroger,20250206000000,64.362,,Analyst Michael Montani,Outperform -> Outperform
MCK,McKesson,20250206000000,602.69,,Analyst Elizabeth Anderson,Outperform -> Outperform
ODFL,Old Dominion Freight Line,20250206000000,198.019,,Analyst Jonathan Chappell,In-Line -> In-Line
QCOM,QUALCOMM,20250206000000,173.454,,Analyst Mark Lipacis,In-Line -> In-Line
RAMP,LiveRamp,20250206000000,32.746,,Analyst Kirk Materne,Outperform -> Outperform
REYN,Reynolds Consumer Products,20250206000000,24.065,,Analyst Robert Ottenstein,Outperform -> Outperform
UBER,Uber Technologies,20250206000000,80.809,,Analyst Mark Mahaney,Outperform -> Outperform
ALGN,Align Technology,20250206000000,200.057,,Analyst Elizabeth Anderson,Outperform -> Outperform
AZTA,Azenta,20250206000000,44.365,,Analyst Vijay Kumar,In-Line -> In-Line
BDN,Brandywine Realty Trust,20250206000000,4.975,,Analyst Steve Sakwa,In-Line -> In-Line
COR,Cencora,20250206000000,243.522,,Analyst John Belton,Outperform -> Outperform
ARM,ARM,20250206000000,150.828,,Analyst Mark Lipacis,Outperform -> Outperform
MTCH,Match Group,20250206000000,33.485,,Analyst Shweta Khajuria,Outperform -> Inline
KMX,CarMax,20250206000000,85.061,,Analyst M. Montani,In-Line -> Outperform
ALB,Albemarle,20250205000000,82.519,,Analyst S. Richardson,Outperform -> Inline
PEP,PepsiCo,20250204000000,148.815,,-,
CLX,Clorox,20250204000000,152.216,,-,
RMBS,Rambus,20250204000000,64.66,,Analyst N. Winkler,Outperform
MAR,Marriott International,20250204000000,285.815,,Analyst Duane Pfennigwerth,In-Line -> Outperform
JNPR,Juniper Networks,20250204000000,36.015,,Analyst Amit Daryanani,In-Line -> Outperform
AAPL,Apple,20250131000000,245.273,,Analyst Amit Daryanani,Outperform -> Outperform
NNN,NNN REIT,20250131000000,41.055,,Analyst James Kammert,Inline
ELS,Equity LifeStyle Properties,20250128000000,65.894,,Analyst Steve Sakwa,In-Line -> In-Line
SKX,Skechers U.S.A.,20250128000000,65.205,,Analyst JESALYN Wong,Outperform -> Outperform
LULU,Lululemon Athletica,20250128000000,363.652,,Analyst Michael Binetti,Outperform -> Outperform
MNMD,Mind Medicine (MindMed),20250128000000,8.048,,Analyst Gavin Clark-Gartner,Outperform
TMUS,T-Mobile US,20250123000000,264.07,,Analyst K. Maral,Strong-Buy
RPM,RPM International,20250121000000,123.305,,Analyst E. Boyes,Strong-Buy
ISRG,Intuitive Surgical,20250127000000,604.006,,-,
NEE,NextEra Energy,20250127000000,70.07,,-,In-Line -> In-Line
AXP,American Express,20250127000000,301.927,,Analyst John Pancari,In-Line -> In-Line
CVS,CVS Health,20250127000000,65.15,,Analyst Elizabeth Anderson,Outperform -> Outperform
MRNA,Moderna,20250127000000,33.474,,Analyst Cory Kasimov,In-Line -> In-Line
TPR,Tapestry,20250127000000,86.149,,Analyst Michael Binetti,Outperform -> Outperform
MAA,Mid-America Apartment Communities,20250124000000,159.315,,Analyst Steve Sakwa,Inline
ED,Consolidated Edison,20250121000000,95.501,,Analyst D. Chopra,Strong-Buy -> Hold
NFLX,Netflix,20250122000000,1021.885,,Analyst Mark Mahaney,Outperform -> Outperform
UPS,United Parcel Service,20250122000000,116.19,,Analyst Jonathan Chappell,In-Line -> In-Line
VST,Vistra,20250121000000,161.715,,Analyst Durgesh Chopra,Outperform
OGE,OGE Energy,20250121000000,43.99,,Analyst Durgesh Chopra,In-Line -> Outperform
NRG,NRG Energy,20250121000000,110.375,,Analyst Durgesh Chopra,In-Line -> Outperform
EXC,Exelon,20250121000000,43.065,,Analyst Durgesh Chopra,In-Line -> Outperform
AEE,Ameren,20250121000000,96.795,,Analyst Durgesh Chopra,In-Line -> Outperform
OWL,Blue Owl Capital,20250117000000,22.785,,Analyst Glenn Schorr,Outperform -> Outperform
ST,Sensata Technologies,20250117000000,29.685,,Analyst Amit Daryanani,Outperform -> Outperform
STEP,StepStone Group,20250117000000,59.707,,Analyst J. Dunn,Outperform -> Outperform
TPG,TPG,20250117000000,58.084,,Analyst Glenn Schorr,In-Line -> In-Line
VRT,Vertiv,20250117000000,103.59,,Analyst Amit Daryanani,Outperform -> Outperform
JBHT,J.B. Hunt Transport Services,20250117000000,167.993,,Analyst Vijay Kumar,Outperform -> Outperform
MS,Morgan Stanley,20250117000000,133.018,,Analyst Glenn Schorr,Outperform -> Outperform
ANET,Arista Networks,20250117000000,101.784,,Analyst Amit Daryanani,Outperform -> Outperform
BAC,Bank of America,20250117000000,45.365,,Analyst Glenn Schorr,Outperform -> Outperform
FFIV,F5,20250117000000,302.315,,Analyst Amit Daryanani,In-Line -> In-Line
WRBY,Warby Parker,20250117000000,24.985,,Analyst Mark Mahaney,Outperform -> In-Line
BK,Bank of New York Mellon,20250116000000,87.231,,Analyst Glenn Schorr,In-Line -> In-Line
C,Citigroup,20250116000000,81.08,,Analyst Glenn Schorr,In-Line -> In-Line
ABNB,Airbnb,20250115000000,153.691,,-,Hold
BKR,Baker Hughes,20250115000000,46.824,,Analyst James West,Outperform -> Outperform
FTI,TechnipFMC,20250115000000,30.615,,Analyst Stephen Richardson,Outperform -> Outperform
HAL,Halliburton,20250115000000,27.255,,Analyst J. West,Outperform -> Outperform
VAL,Valaris,20250115000000,44.945,,Analyst James West,Outperform -> In-Line
RIG,Transocean,20250115000000,3.575,,Analyst James West,Outperform -> In-Line
TDW,Tidewater,20250115000000,51.47,,Analyst James West,Outperform -> In-Line
ARIS,Aris Water Solutions,20250115000000,28.62,,Analyst Samantha Hoh,Outperform -> In-Line
HP,Helmerich & Payne,20250115000000,26.89,,Analyst J. West,Outperform -> In-Line
SLB,Schlumberger,20250115000000,42.901,,Analyst James West,Outperform -> In-Line
NOV,NOV,20250115000000,15.495,,Analyst J. West,Outperform -> In-Line
KBH,KB Home,20250114000000,62.86,,Analyst Stephen Kim,Outperform -> Outperform
BCRX,BioCryst Pharmaceuticals,20250113000000,9.435,,Analyst Liisa Bayko,Outperform -> Outperform
CBRE,CBRE Group,20250113000000,141.967,,Analyst S. Sakwa,Outperform -> Outperform
JWN,Nordstrom,20250113000000,24.335,,Analyst Michael Binetti,In-Line -> In-Line
STZ,Constellation Brands,20250113000000,172.554,,Analyst Robert Ottenstein,Outperform -> Outperform
WBA,Walgreens Boots Alliance,20250113000000,10.476,,Analyst Elizabeth Anderson,In-Line -> In-Line
CAT,Caterpillar,20250113000000,348.583,,Analyst D. Raso,Underperform -> In-Line
CHWY,Chewy,20250113000000,37.05,,Analyst M. Mahaney,In-Line -> Outperform
DECK,Deckers Outdoor,20250109000000,148.092,,-,Outperform -> Outperform
WMG,Warner Music Group,20250109000000,35.435,,-,Outperform -> Outperform
AAL,American Airlines Group,20250109000000,15.655,,-,Hold
WTW,Willis Towers Watson Public,20250108000000,322.527,,Analyst D. Motemaden,In-Line -> Outperform
ALL,Allstate,20250108000000,188.135,,Analyst D. Motemaden,In-Line -> Outperform
VNOM,Viper Energy,20250108000000,49.865,,-,Outperform -> Outperform
GL,Globe Life,20250108000000,123.755,,Analyst T. Gallagher,In-Line -> Outperform
AON,AON,20250108000000,389.739,,Analyst D. Motemaden,In-Line -> Outperform
LH,Laboratory Co. of America,20250107000000,247.96,,Analyst E. Anderson,In-Line -> Outperform
KHC,Kraft Heinz,20250107000000,30.215,,Analyst D. Palmer,Outperform -> In-Line
CAH,Cardinal Health,20250107000000,126.85,,Analyst E. Anderson,In-Line -> Outperform
XRAY,DENTSPLY SIRONA,20250107000000,19.085,,Analyst E. Anderson,Outperform -> In-Line
TSLA,Tesla,20250103000000,353.118,,-,In-Line -> In-Line
CEG,Constellation Energy,20250103000000,304.884,,-,Outperform -> Outperform
